X,Y,ROTATION,LEGEND_TOP_MARGIN,LRFLAG,JOB_NO,MAP_ID,OBJECTID,SHAPE.LEN,LEGEND_BOTTOM_MARGIN,FRACL,SUBAREA_NO,AREA_NO,PAGELETTER_ID,POLTOWNSHIP_NAME,MAPTITLE,RANGE,SECTION_NO,SHAPE.AREA,IBL,TOWNSHIP,FLYLEAF,PAGE
-87.6200035100326,41.8637831762893,0,,R,,7141,12387,8000.70729120852,,,22,17,D,SOUTH,SOUTH,14,22,3570958.8688205, ,39,1,1722D
-87.6345506719485,41.8637676231321,0,,L,,7142,12388,8064.06330202376,,,21,17,A,WEST,SOUTH & WEST,14,21,3643770.0254255, ,39,0,1721A
-87.6444432102672,41.8636098025554,0,,L,,7144,12389,7903.96505503677,,,21,17,C,WEST,WEST,14,21,3435914.9600625, ,39,1,1721C
-87.6195873021351,41.8420452762715,0,,R,,7014,12390,7968.83175396146,,,27,17,F,SOUTH,SOUTH,14,27,3524950.9999365, ,39,0,1727F
-87.6293193345491,41.8415709506731,0,,R,,7016,12392,7972.70794533089,,,28,17,H,SOUTH,SOUTH,14,28,3532901.002589, ,39,0,1728H
-87.6439151280279,41.8416988537048,0,,L,,7017,12393,7941.95166388677,,,28,17,E,SOUTH,SOUTH,14,28,3495408.4070125, ,39,0,1728E
-87.6733199515077,41.8489657981936,0,,L,,7019,12394,7966.94968315383,,,30,17,A,WEST,WEST,14,30,3534286.22543, ,39,0,1730A
-87.678205370283,41.848516999453,0,,R,,7020,12395,7962.76115500521,,,30,17,D,WEST,WEST,14,30,3531965.26703, ,39,0,1730D
-87.6388900052916,41.8345478998486,0,,R,,7043,12416,7974.53404257386,,,33,17,D,SOUTH,SOUTH,14,33,3531921.6550545, ,39,0,1733D
-87.6289764940457,41.8273386502573,0,,R,,7045,12417,7975.18799027592,,,33,17,H,SOUTH,SOUTH,14,33,3532620.102859, ,39,0,1733H
-87.6680515361917,41.8341509990695,0,,R,,7046,12418,8013.78293124137,,,31,17,B,SOUTH,SOUTH,14,31,3560279.187993, ,39,0,1731B
-87.6630127447032,41.8268885001517,0,,L,,7047,12419,7968.44506293519,,,32,17,E,SOUTH,SOUTH,14,32,3518297.7586885, ,39,0,1732E
-87.6581642183955,41.8269501013164,0,,R,,7049,12420,7964.31617394889,,,32,17,F,SOUTH,SOUTH,14,32,3517346.338219, ,39,0,1732F
-87.6536580116471,41.84884982536,0,,L,,7050,12421,8034.28083337273,,,29,17,A,WEST,SOUTH & WEST,14,29,3603966.178464, ,39,0,1729A
-87.6633429657065,41.8414636018783,0,,L,,7051,12422,7986.1376859953,,,29,17,E,SOUTH,SOUTH & WEST,14,29,3576111.24646, ,39,0,1729E
-87.6316979056961,41.9075776688529,0,,R,,5007,12554,8458.40604085484,,,4,17,B,NORTH,NORTH,14,4,4183375.3978285, ,39,0,1704B
-87.6554389421024,41.90721227984,0,,L,,7171,12555,7955.42131465479,,,5,17,A,NORTH,NORTH & WEST,14,5,3515255.323624, ,39,0,1705A
-87.6505720475705,41.9072220869274,0,,R,,7172,12556,7961.22122234464,,,5,17,B,NORTH,NORTH,14,5,3516899.0947745, ,39,0,1705B
-87.6651657606428,41.9070336011088,0,,L,,7173,12557,7952.62925199709,,,5,17,C,WEST,WEST,14,5,3510497.048766, ,39,0,1705C
-87.6603057201547,41.9071774200924,0,,R,,7174,12558,7950.13648994751,,,5,17,D,WEST,NORTH & WEST,14,5,3510768.5008315, ,39,0,1705D
-87.6749258548489,41.9068690794558,0,,L,,7175,12559,7970.00530020127,,,6,17,A,WEST,WEST,14,6,3533155.6493305, ,39,0,1706A
-87.6830972075322,41.8484434497841,0,,L,,7021,12396,7957.0098319657,,,30,17,C,WEST,WEST,14,30,3524255.8447965, ,39,0,1730C
-87.6731225365986,41.841404199793,0,,L,,7022,12397,7908.29492021086,,,30,17,G,WEST,SOUTH & WEST,14,30,3493778.9795915, ,39,0,1730G
-87.6727512705709,41.8267751492137,0,,L,,7023,12398,7989.10712332293,,,31,17,G,SOUTH,SOUTH,14,31,3545208.21876, ,39,0,1731G
-87.6678730648745,41.8268301494151,0,,R,,7024,12399,7986.56011514694,,,31,17,H,SOUTH,SOUTH,14,31,3540322.2526, ,39,0,1731H
-87.6534951396644,41.8343066487331,0,,L,,7025,12400,7971.76313702321,,,32,17,A,SOUTH,SOUTH,14,32,3526653.9426245, ,39,0,1732A
-87.6486275182906,41.8343742494708,0,,R,,7026,12401,7972.07219033444,,,32,17,B,SOUTH,SOUTH,14,32,3528643.12301, ,39,0,1732B
-87.6533569309042,41.8287581225337,0,,L,,7028,12403,7960.78844953239,,,32,17,G,SOUTH,SOUTH,14,32,3515368.21589, ,39,0,1732G
-87.6291500600155,41.834647499934,0,,R,,7029,12404,7973.57722136363,,,33,17,B,SOUTH,SOUTH,14,33,3531312.8124175, ,39,0,1733B
-87.6145276201705,41.8349777500409,0,,L,,7030,12405,8029.69686219909,,,34,17,A,SOUTH,SOUTH,14,34,3580562.968672, ,39,0,1734A
-87.6242799141386,41.8347057993377,0,,L,,7031,12406,7977.1944383046,,,34,17,C,SOUTH,SOUTH,14,34,3531459.9752145, ,39,0,1734C
-87.6095365616581,41.8350629938054,0,,R,,7032,12407,8129.2458552983,,,34,17,B,SOUTH,SOUTH,14,34,3709074.874136, ,39,0,1734B
-87.6194173761181,41.8350061275739,0,,R,,7033,12408,7990.14950216225,,,34,17,D,SOUTH,SOUTH,14,34,3540750.59226, ,39,0,1734D
-87.6143773355647,41.8275221005974,0,,L,,7034,12409,7982.3577010607,,,34,17,G,SOUTH,SOUTH,14,34,3551972.540948, ,39,0,1734G
-87.6192605780041,41.8274576492888,0,,R,,7035,12410,7953.7118806449,,,34,17,F,SOUTH,SOUTH,14,34,3510563.038363, ,39,0,1734F
-87.6635220784653,41.8495856028715,0,,L,,7040,12413,7981.17117477884,,,29,17,C,WEST,SOUTH & WEST,14,29,3553520.9226825, ,39,0,1729C
-87.6488054501703,41.8487980947545,0,,R,,7042,12415,7912.55869094332,,,29,17,B,WEST,SOUTH & WEST,14,29,3440976.579407, ,39,0,1729B
-87.6309891133235,41.9002798013668,0,,R,,5008,12533,7927.48634366325,,,4,17,H,NORTH,NORTH,14,4,3475951.662506, ,39,0,1704H
-87.7333701908551,41.8915938478296,0,,L,,9621,12340,8033.49083519182,,,10,16,A,WEST,WEST,13,10,3592563.031227, ,39,0,1610A
-87.6700390962051,41.9069597990799,0,,R,,7178,12562,7970.71703001746,,,6,17,B,WEST,WEST,14,6,3531429.94099, ,39,0,1706B
-87.6844983354409,41.8994284003757,0,,L,,7179,12563,7963.98640986769,,,6,17,E,WEST,WEST,14,6,3527949.239111, ,39,0,1706E
-87.6842987783257,41.8921571005666,0,,L,,7180,12564,7979.49779348434,,,7,17,C,WEST,WEST,14,7,3540865.029938, ,39,0,1707C
-87.6686096710824,41.8559403993105,0,,R,,7096,12457,7978.63181001994,,,19,17,H,WEST,WEST,14,19,3537189.9705295, ,39,0,1719H
-87.6788045170827,41.8703715724605,0,,R,,7100,12459,7974.3553010232,,,18,17,F,WEST,WEST,14,18,3535742.5411995, ,39,1,1718F
-87.673912876261,41.8704958286331,0,,L,,7101,12460,7986.44649145815,,,18,17,G,WEST,WEST,14,18,3548380.4561205, ,39,0,1718G
-87.6832971872142,41.8557570507721,0,,L,,7102,12461,8013.57171413042,,,19,17,E,WEST,WEST,14,19,3564887.9621725, ,39,0,1719E
-87.644209940733,41.8561809019587,0,,L,,7104,12463,7912.15933867813,,,21,17,E,WEST,WEST,14,21,3452769.453655, ,39,0,1721E
-87.6247731678516,41.8565026990805,0,,L,,7107,12464,8000.00222019435,,,22,17,E,SOUTH,SOUTH,14,22,3567701.4997025, ,39,1,1722E
-87.6690149756702,41.8705298497063,0,,R,,7109,12465,7988.67828075346,,,18,17,H,WEST,WEST,14,18,3547973.449341, ,39,1,1718H
-87.6343769504686,41.8564359246229,0,,L,,7110,12466,8048.70832944451,,,21,17,G,SOUTH,SOUTH & WEST,14,21,3638242.606239, ,39,1,1721G
-87.6590308763507,41.863321077319,0,,R,,7113,12467,7974.05049326344,,,20,17,D,WEST,WEST,14,20,3535345.213926, ,39,0,1720D
-87.6737025137055,41.8631751996096,0,,L,,7114,12468,7966.17489870354,,,19,17,A,WEST,WEST,14,19,3532502.6847215, ,39,0,1719A
-87.65414213573,41.8634567005792,0,,L,,7115,12469,7976.6467251349,,,20,17,A,WEST,WEST,14,20,3540263.4117675, ,39,0,1720A
-87.6639326224976,41.8637302228922,0,,L,,7117,12470,7974.59257150358,,,20,17,C,WEST,WEST,14,20,3537751.3604355, ,39,0,1720C
-87.6446720442503,41.8708098690259,0,,L,,7119,12471,7748.14467199853,,,16,17,E,WEST,WEST,14,16,3326934.107842, ,39,0,1716E
-87.6688114127333,41.8632423996388,0,,R,,7120,12472,7969.63214318192,,,19,17,B,WEST,WEST,14,19,3533641.3518415, ,39,0,1719B
-87.6834940073755,41.8630258281451,0,,L,,7121,12473,7949.44983041519,,,19,17,C,WEST,WEST,14,19,3523810.69968, ,39,0,1719C
-87.6928985270463,41.8483056492152,0,,L,,9367,12474,7959.21790758366,,,25,16,A,WEST,WEST,13,25,3528976.92148, ,39,0,1625A
-87.6973772753544,41.833676549695,0,,R,,9419,12475,8005.97633189166,,,36,16,D,WEST,SOUTH & WEST,13,36,3562130.3076045, ,39,0,1636D
-87.6924855615622,41.8338445287853,0,,L,,9420,12476,7998.86210802704,,,36,16,A,WEST,SOUTH & WEST,13,36,3554367.343043, ,39,0,1636A
-87.6922764396719,41.8265052996966,0,,L,,9421,12477,7991.3699313347,,,36,16,G,SOUTH,SOUTH,13,36,3548178.0567375, ,39,0,1636G
-87.7020615996924,41.8263124499912,0,,L,,9422,12478,8007.27267988531,,,36,16,E,SOUTH,SOUTH & WEST,13,36,3562763.608273, ,39,0,1636E
-87.6977965358243,41.8482416505633,0,,R,,9423,12479,7961.45789294274,,,25,16,D,WEST,WEST,13,25,3532983.51384, ,39,0,1625D
-87.702699282441,41.8481658289392,0,,L,,9429,12480,7958.71135718856,,,25,16,C,WEST,WEST,13,25,3532197.1752965, ,39,0,1625C
-87.7024888100498,41.8409217782686,0,,L,,9430,12481,7971.06140342727,,,25,16,E,WEST,WEST,13,25,3538909.635137, ,39,0,1625E
-87.6873801645899,41.826597850383,0,,R,,9452,12482,8001.95098988284,,,36,16,H,SOUTH,SOUTH,13,36,3562697.7547625, ,39,0,1636H
-87.6875858766457,41.8338444713073,0,,R,,9453,12483,8004.01094045954,,,36,16,B,SOUTH,SOUTH & WEST,13,36,3563057.732897, ,39,0,1636B
-87.6879961572703,41.848372649758,0,,R,,9466,12489,7966.62765274729,,,25,16,B,WEST,WEST,13,25,3539554.3118925, ,39,0,1625B
-87.7031288105873,41.8629213716575,0,,L,,9522,12490,7997.36192884254,,,24,16,C,WEST,WEST,13,24,3551724.3686945, ,39,0,1624C
-87.698244534547,41.8629747795535,0,,R,,9523,12491,7977.865936689,,,24,16,D,WEST,WEST,13,24,3535687.347016, ,39,0,1624D
-87.6984537178114,41.870132847535,0,,R,,9543,12492,7977.2109809185,,,13,16,F,WEST,WEST,13,13,3541834.4707145, ,39,0,1613F
-87.6886136438193,41.8702319503027,0,,R,,9544,12493,7995.17146647691,,,13,16,H,WEST,WEST,13,13,3571506.8584855, ,39,0,1613H
-87.6933371092949,41.8628175502758,0,,L,,9548,12494,7983.02212653304,,,24,16,A,WEST,WEST,13,24,3554126.3457265, ,39,0,1624A
-87.6935448473135,41.8701842001132,0,,L,,9553,12495,7989.80104436422,,,13,16,G,WEST,WEST,13,13,3555577.3430535, ,39,0,1613G
-87.7033445974374,41.8700858501085,0,,L,,9557,12496,7970.77862056697,,,13,16,E,WEST,WEST,13,13,3531463.120289, ,39,0,1613E
-87.6882063177966,41.8556778469047,0,,R,,9559,12497,8028.15832093886,,,24,16,H,WEST,WEST,13,24,3586630.5181835, ,39,0,1624H
-87.7029114296519,41.8554408295863,0,,L,,9561,12498,8002.83789233262,,,24,16,E,WEST,WEST,13,24,3559473.2306365, ,39,0,1624E
-87.6980178142006,41.8555299014448,0,,R,,9562,12499,8001.62497759428,,,24,16,F,WEST,WEST,13,24,3555204.1421575, ,39,0,1624F
-87.6883955040484,41.8624220697454,0,,R,,9563,12500,7976.07448197797,,,24,16,B,WEST,WEST,13,24,3554291.9947975, ,39,0,1624B
